TIER,ID,Pokemon,Type 1,Type 2,Total,HP,Attack,Special Attack,Defense,Special Defense,Speed
F,#053,Paras,,,285,35,70,45,55,55,25
D,#054,Parasect,,,405,60,95,60,80,80,30
F,#055,Pichu,,,205,20,40,35,15,35,60
F,#056,Pikachu,,,320,35,55,50,40,50,90
C,#057,Raichu,,,485,60,90,90,55,80,110
F,#058,Abra,,,310,25,20,105,15,55,90
D,#059,Kadabra,,,400,40,35,120,30,70,105
B,#060,Alakazam,,,500,55,50,135,45,95,120
F,#061,Chimchar,,,309,44,58,58,44,44,61
D,#062,Monferno,,,405,64,78,78,52,52,81
A,#063,Infernape,,,534,76,104,104,71,71,108
E,#064,Buneary,,,350,55,66,44,44,56,85
C,#065,Lopunny,,,480,65,76,54,84,96,105
F,#066,Cherubi,,,275,45,35,62,45,53,35
C,#067,Cherrim,,,450,70,60,87,70,78,85
F,#068,Psyduck,,,320,50,52,65,48,50,55
B,#069,Golduck,,,500,80,82,95,78,80,85
F,#070,Combee,,,244,30,30,30,42,42,70
C,#071,Vespiquen,,,474,70,80,80,102,102,40
B,#072,Scyther,,,500,70,110,55,80,80,105
B,#073,Scizor,,,500,70,130,55,100,80,65
B,#074,Kleavor,Bug,Rock,505,70,135,45,95,75,85
B,#075,Heracross,,,500,80,125,40,75,95,85
E,#078,Aipom,,,360,55,70,40,55,55,85
C,#079,Ambipom,,,482,75,100,60,66,66,115
F,#080,Magikarp,,,200,20,10,15,55,20,80
A,#081,Gyarados,,,540,95,125,60,79,100,81
F,#082,Shellos,,,325,76,48,57,48,62,34
C,#083,Gastrodon,,,475,111,83,92,68,82,39
D,#084,Hisuian Qwilfish,Dark,Poison,440,65,95,55,85,55,85
B,#085,Overqwil,Dark,Poison,510,85,115,65,95,65,85
F,#086,Happiny,,,220,100,5,15,5,65,30
C,#087,Chansey,,,450,250,5,35,5,105,50
A,#088,Blissey,,,540,255,10,75,10,135,55
F,#089,Budew,,,280,40,30,50,35,70,55
D,#090,Roselia,,,400,50,60,100,45,80,65
B,#091,Roserade,,,515,60,70,125,65,105,90
C,#092,Carnivine,,,454,74,100,90,72,72,46
F,#093,Petilil,,,280,45,35,70,50,50,30
C,#094,Hisuian Lilligant,Grass,Fighting,480,70,105,50,75,75,105
D,#095,Tangela,,,435,65,55,100,115,40,60
A,#096,Tangrowth,,,535,100,100,110,125,50,50
F,#097,Barboach,,,288,50,48,46,43,41,60
C,#098,Whiscash,,,468,110,78,76,73,71,60
F,#099,Croagunk,,,300,48,61,61,40,40,50
C,#100,Toxicroak,,,490,83,106,86,65,65,85
F,#101,Ralts,,,198,28,25,45,25,35,40
F,#102,Kirlia,,,278,38,35,65,35,55,50
B,#103,Gardevoir,,,518,68,65,125,65,115,80
B,#104,Gallade,,,518,68,125,65,65,115,80
E,#105,Yanma,,,390,65,65,75,45,45,95
B,#106,Yanmega,,,515,86,76,116,86,56,95
F,#107,Hippopotas,,,330,68,72,38,78,42,32
B,#108,Hippowdon,,,525,108,112,68,118,72,47
D,#109,Pachirisu,,,405,60,45,45,70,90,95
F,#110,Stunky,,,329,63,63,41,47,41,74
C,#111,Skuntank,,,479,103,93,71,67,61,84
F,#112,Teddiursa,,,330,60,80,50,50,50,40
B,#113,Ursaring,,,500,90,130,75,75,75,55
A,#114,Ursaluna,Normal,Ground,550,130,140,45,105,80,50
F,#115,Goomy,,,300,45,50,55,35,75,40
C,#116,Hisuian Sliggoo,Dragon,Steel,452,58,75,83,83,113,40
S,#117,Hisuian Goodra,Dragon,Steel,600,80,100,110,100,150,60
E,#118,Onix,,,385,35,45,30,160,45,70
B,#119,Steelix,,,510,75,85,55,200,65,30
E,#120,Rhyhorn,,,345,80,85,30,95,30,25
C,#121,Rhydon,,,485,105,130,45,120,45,40
A,#122,Rhyperior,,,535,115,140,55,130,55,40
F,#123,Bonsly,,,290,50,80,10,95,45,10
D,#124,Sudowoodo,,,410,70,100,30,115,65,30
E,#125,Lickitung,,,385,90,55,60,75,75,30
B,#126,Lickilicky,,,515,110,85,80,95,95,50
F,#127,Togepi,,,245,35,20,40,65,65,20
D,#128,Togetic,,,405,55,40,80,85,105,40
A,#129,Togekiss,,,545,85,50,120,95,115,80
F,#130,Turtwig,,,318,55,68,45,64,55,31
D,#131,Grotle,,,405,75,89,55,85,65,36
B,#132,Torterra,,,525,95,109,75,105,85,56
D,#133,Porygon,,,395,65,60,85,70,75,40
B,#134,Porygon2,,,515,85,80,105,90,95,60
A,#135,Porygon-Z,,,535,85,80,135,70,75,90
F,#136,Gastly,,,310,30,35,100,30,35,80
D,#137,Haunter,,,405,45,50,115,45,55,95
B,#138,Gengar,,,500,60,65,130,60,75,110
C,#139,Spiritomb,,,485,50,92,92,108,108,35
D,#140,Murkrow,,,405,60,85,85,42,42,91
B,#141,Honchkrow,,,505,100,125,105,52,52,71
E,#142,Unown,,,336,48,72,72,48,48,48
F,#143,Spheal,,,290,70,40,55,50,50,25
D,#144,Sealeo,,,410,90,60,75,70,70,45
A,#145,Walrein,,,530,110,80,95,90,90,65
F,#146,Remoraid,,,300,35,65,65,35,35,65
C,#147,Octillery,,,480,75,105,105,75,75,45
F,#148,Skorupi,,,330,40,50,30,90,55,65
B,#149,Drapion,,,500,70,90,60,110,75,95
E,#150,Hisuian Growlithe,Fire,Rock,350,60,75,65,45,50,55
S,#151,Hisuian Arcanine,Fire,Rock,555,95,115,95,80,80,90
F,#152,Glameow,,,310,49,55,42,42,37,85
C,#153,Purugly,,,452,71,82,64,64,59,112
F,#154,Machop,,,305,70,80,35,50,35,35
D,#155,Machoke,,,405,80,100,50,70,60,45
B,#156,Machamp,,,505,90,130,65,80,85,55
D,#157,Chatot,,,411,76,65,92,45,42,91
F,#158,Duskull,,,295,20,40,30,90,90,25
C,#159,Dusclops,,,455,40,70,60,130,130,25
B,#160,Dusknoir,,,525,45,100,65,135,135,45
F,#161,Piplup,,,314,53,51,61,53,56,40
D,#162,Prinplup,,,405,64,66,81,68,76,50
A,#163,Empoleon,,,530,84,86,111,88,101,60
E,#164,Mantyke,,,345,45,20,60,50,120,50
C,#165,Mantine,,,485,85,40,80,70,140,70
C,#166,Hisuian Basculin,Water,Ghost,460,70,92,80,65,55,98
A,#167,Basculegion,,,530,120,112,80,65,75,78
F,#168,Vulpix,,,299,38,41,50,40,65,65
B,#169,Ninetales,,,505,73,76,81,75,100,100
F,#170,Tentacool,,,335,40,40,50,35,100,70
B,#171,Tentacruel,,,515,80,70,80,65,120,100
F,#172,Finneon,,,330,49,49,49,56,61,66
C,#173,Lumineon,,,460,69,69,69,76,86,91
E,#174,Magby,,,365,45,75,70,37,55,83
C,#175,Magmar,,,495,65,95,100,57,85,93
A,#176,Magmortar,,,540,75,95,125,67,95,83
F,#177,Magnemite,,,325,25,35,95,70,55,45
C,#178,Magneton,,,465,50,60,120,95,70,70
A,#179,Magnezone,,,535,70,70,130,115,90,60
F,#180,Bronzor,,,300,57,24,24,86,86,23
B,#181,Bronzong,,,500,67,89,79,116,116,33
E,#182,Elekid,,,360,45,63,65,37,55,95
C,#183,Electabuzz,,,490,65,83,95,57,85,105
A,#184,Electivire,,,540,75,123,95,67,85,95
D,#185,Gligar,,,430,65,75,35,105,65,85
B,#186,Gliscor,,,510,75,95,45,125,75,95
F,#187,Gible,,,300,58,70,40,45,45,42
D,#188,Gabite,,,410,68,90,50,65,55,82
S,#189,Garchomp,,,600,108,130,80,95,85,102
E,#190,Nosepass,,,375,30,45,45,135,90,30
B,#191,Probopass,,,525,60,55,75,145,150,40
F,#192,Hisuian Voltorb,Electric,Grass,330,40,30,55,50,55,100
C,#193,Hisuian Electrode,Electric,Grass,490,60,50,80,70,80,150
D,#194,Rotom,,,440,50,50,95,77,77,91
F,#195,Chingling,,,285,45,30,65,50,50,45
C,#196,Chimecho,,,455,75,50,95,80,90,65
D,#197,Misdreavus,,,435,60,60,85,60,85,85
C,#198,Mismagius,,,495,60,60,105,60,105,105
F,#199,Cleffa,,,218,50,25,45,28,55,15
F,#200,Clefairy,,,323,70,45,60,48,65,35
C,#201,Clefable,,,483,95,70,95,73,90,60
D,#202,Hisuian Sneasel,Poison,Fighting,430,55,95,35,55,75,115
B,#203,Sneasler,Poison,Fighting,510,80,130,40,60,80,120
B,#204,Weavile,,,510,70,120,45,65,85,125
F,#205,Snorunt,,,300,50,50,50,50,50,50
C,#206,Glalie,,,480,80,80,80,80,80,80
C,#207,Froslass,,,480,70,80,80,70,70,110
E,#208,Cranidos,,,350,67,125,30,40,30,58
C,#209,Rampardos,,,495,97,165,65,60,50,58
E,#210,Shieldon,,,350,30,42,42,118,88,30
C,#211,Bastiodon,,,495,60,52,47,168,138,30
F,#212,Swinub,,,250,50,50,30,40,30,50
C,#213,Piloswine,,,450,100,100,60,80,60,50
A,#214,Mamoswine,,,530,110,130,70,80,60,80
F,#215,Bergmite,,,304,55,69,32,85,35,28
B,#216,Hisuian Avalugg,Ice,Rock,514,95,127,34,184,36,38
F,#217,Snover,,,334,60,62,62,50,60,40
C,#218,Abomasnow,,,494,90,92,92,75,85,60
F,#219,Hisuian Zorua,Normal,Ghost,330,35,60,85,40,40,70
B,#220,Hisuian Zoroark,Normal,Ghost,510,55,100,125,60,60,110
E,#221,Rufflet,,,350,70,83,37,50,50,60
B,#222,Hisuian Braviary,Psychic,Flying,510,110,83,112,70,70,65
F,#223,Riolu,,,285,40,70,35,40,40,60
B,#224,Lucario,,,525,70,110,115,70,70,90
S,#225,Uxie,,,580,75,75,75,130,130,95
S,#226,Mesprit,,,580,80,105,105,105,105,80
S,#227,Azelf,,,580,75,125,125,70,70,115
S,#228,Heatran,,,600,91,90,130,106,106,77
S,#229,Regigigas,,,670,110,160,80,110,110,100
S,#230,Cresselia,,,600,120,70,75,120,130,85
S,#231,Thundurus,,,580,79,115,125,70,80,111
S,#231,Thundurus Therian,Electric,Flying,580,79,105,145,70,80,101
S,#232,Tornadus,,,580,79,115,125,70,80,111
S,#232,Tornadus Therian,Flying,,580,79,100,110,80,90,121
S,#233,Landorus Therian,,,600,89,145,105,90,80,91
S,#233,Landorus,,,600,89,125,115,90,80,101
S,#234,Enamorus,Fairy,Flying,580,74,115,135,70,80,106
S,#234,Enamorus Therian,Fairy,Flying,580,74,115,135,110,100,46
S,#235,Dialga,,,680,100,120,150,120,100,90
S,#235,Origin Dialga,Steel,Dragon,680,100,100,150,120,120,90
S,#236,Palkia,,,680,90,120,150,100,120,100
S,#236,Origin Palkia,Water,Dragon,680,90,100,150,100,120,120
S,#237,Giratina Origin,,,680,150,120,120,100,100,90
S,#237,Giratina Altered,,,680,150,100,100,120,120,90
S,#238,Arceus,,,720,120,120,120,120,120,120
C,#239,Phione,,,480,80,80,80,80,80,80
S,#240,Manaphy,,,600,100,100,100,100,100,100
S,#241,Shaymin Sky,,,600,100,103,120,75,75,127
S,#241,Shaymin Land,,,600,100,100,100,100,100,100
S,#242,Darkrai,,,600,70,90,135,90,90,125
